Unnamed: 0,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,accuracy,training,Average Accuracy,Average Training
0,0.878899992,1.556502725,0.885100007,1.545754646,0.889400005,1.509459667,0.893400013,1.519249089,0.895099998,1.50873828,0.897800028,1.513352928,0.882700026,1.518611416,0.902700007,1.521193447,0.890999973,1.84934722,0.858200014,1.468381397,0.882600009,1.498207936,0.863099992,1.504878729,0.898100019,1.523643344,0.88410002,1.517498401,0.890699983,1.941387039,0.90259999,1.506510619,0.897000015,1.508961661,0.900399983,1.513528683,0.863799989,1.55212896,0.878400028,1.520002233,0.870800018,1.524284556,0.895299971,1.481443972,0.891499996,1.504549713,0.900600016,1.529875346,0.880800009,1.493174572,0.898999989,1.493723629,0.872600019,1.508970617,0.897599995,1.510273574,0.896799982,1.490207199,0.878600001,2.112850513,0.901899993,1.500459164,0.898199975,1.507979739,0.905099988,1.496483412,0.870100021,1.494722757,0.891600013,1.518668485,0.870700002,1.490789077,0.908500016,1.496079223,0.888599992,1.490158282,0.895500004,1.526414712,0.890500009,1.494476822,0.878700018,1.500829331,0.889199972,1.495333747,0.899100006,1.503028039,0.872699976,1.504825187,0.906700015,1.494291102,0.886500001,1.521691197,0.863399982,1.508761847,0.902899981,3.636047233,0.888800025,1.558354822,0.880699992,1.51474649,0.878899992,1.556502725
1,0.909799993,1.491554488,0.939300001,1.500526665,0.920000017,1.470365705,0.922200024,1.497249408,0.921000004,1.4991921,0.924399972,1.501133973,0.918200016,2.848692724,0.922399998,1.55293699,0.916999996,1.56904643,0.897199988,1.528046667,0.914399981,1.567921868,0.911499977,1.562134257,0.925700009,1.497577805,0.91839999,1.512463537,0.928499997,1.536979364,0.922500014,1.518151328,0.931299984,1.513582752,0.936999977,1.484445069,0.918600023,1.486710188,0.915700018,1.499281433,0.931100011,1.523292757,0.936500013,1.524511313,0.911000013,1.495784985,0.935599983,2.468220062,0.918799996,1.49727756,0.929400027,1.538987034,0.924499989,1.519761753,0.920599997,1.503058769,0.926800013,1.504518796,0.931999981,1.510562498,0.933700025,1.47747635,0.923399985,2.664701873,0.927600026,1.510587272,0.931299984,1.502971171,0.929199994,1.539745878,0.915899992,1.49997607,0.943000019,1.480651313,0.915000021,1.508320882,0.927999973,1.498055751,0.912999988,1.49379574,0.909200013,1.487116011,0.925800025,1.497017719,0.928300023,1.497444681,0.922999978,1.490295302,0.931200027,1.485075101,0.911000013,1.553690989,0.904600024,1.557328354,0.936100006,1.515157735,0.927100003,1.497986756,0.935400009,1.537317144,0.909799993,1.491554488
2,0.932600021,1.528771636,0.946699977,1.50465341,0.928799987,1.561101199,0.944199979,1.523223349,0.940500021,1.506463807,0.93779999,1.490631253,0.936699986,1.484977032,0.934800029,1.498001244,0.94569999,1.494287086,0.934899986,1.488142937,0.940999985,1.494069493,0.943499982,1.486436896,0.934199989,1.491828822,0.939300001,1.577452339,0.944899976,1.559485813,0.9454,1.515278229,0.941699982,1.521539678,0.94749999,1.503312625,0.936699986,1.505208793,0.939499974,1.494616607,0.945800006,1.486459793,0.952899992,1.474376815,0.91960001,1.494112872,0.941999972,1.483710372,0.930100024,1.48493219,0.944899976,1.523741983,0.943499982,1.505525028,0.940699995,1.510576907,0.940100014,1.502046826,0.943599999,1.512641896,0.941699982,1.501326438,0.942900002,1.493585382,0.933799982,1.502584714,0.945299983,1.504507137,0.943099976,1.498161689,0.897000015,1.502624825,0.951799989,1.494137079,0.927600026,2.823896707,0.937399983,1.502536861,0.937699974,1.533960036,0.930000007,1.504307117,0.940500021,1.525885748,0.943199992,1.505844863,0.940299988,1.515193066,0.947399974,1.501229414,0.932200015,1.508575533,0.921000004,1.497162239,0.951499999,1.478322685,0.94690001,1.508400707,0.943400025,1.544252493,0.932600021,1.528771636
3,0.939300001,1.55145539,0.949400008,1.481798443,0.942499995,1.479823354,0.951200008,1.517553296,0.944500029,1.488254352,0.942799985,1.484496775,0.939700007,2.761574081,0.949999988,1.558103072,0.957599998,1.514305223,0.941799998,1.50174125,0.954599977,1.4902723,0.95450002,1.491819381,0.936100006,1.502417612,0.950900018,1.489095347,0.949500024,1.496911876,0.957000017,1.486102466,0.953299999,1.534389832,0.953499973,1.471160447,0.940999985,1.484793533,0.94630003,1.538449791,0.94630003,1.525096049,0.959399998,1.566014493,0.930899978,1.515611531,0.948499978,2.774507509,0.944100022,1.524394767,0.95480001,1.504444798,0.943000019,1.486408273,0.948800027,1.489640015,0.941699982,1.489882841,0.947300017,1.502126374,0.951099992,1.48477529,0.949100018,1.54836585,0.949000001,1.529110452,0.952400029,1.54376137,0.949699998,1.510842875,0.908900023,1.509634401,0.957099974,1.494403794,0.92869997,1.502701787,0.944899976,1.516319526,0.950500011,1.498183199,0.937399983,1.504060598,0.949400008,1.506167947,0.948099971,1.501259451,0.949899971,2.954120938,0.955600023,1.530839428,0.940299988,1.499186481,0.929099977,1.464255919,0.952199996,1.506056439,0.952700019,1.504813676,0.947399974,1.498889866,0.939300001,1.55145539
4,0.945500016,1.515809071,0.952099979,1.492331091,0.949299991,1.511893828,0.954400003,1.52374352,0.95660001,1.500525508,0.94660002,1.495904679,0.942799985,1.50504769,0.95630002,1.512616563,0.959200025,1.505290849,0.953000009,1.505819017,0.960900009,1.477128555,0.961000025,1.495006764,0.945500016,1.513059058,0.959699988,2.863540209,0.956700027,1.52949159,0.96329999,1.525304374,0.955600023,1.499100405,0.957899988,1.518394791,0.946099997,1.528678826,0.944299996,1.463944888,0.953700006,1.490493709,0.963100016,1.484739109,0.946200013,1.489594887,0.949599981,1.512517533,0.950699985,1.489736998,0.960200012,1.484060685,0.950600028,1.564425144,0.958999991,1.539507973,0.950999975,1.512790903,0.95539999,1.515406068,0.95480001,1.505499538,0.95450002,1.516276604,0.961300015,1.499780258,0.954900026,1.506446847,0.95480001,1.51573803,0.892799973,1.488289297,0.958800018,1.483517951,0.934000015,1.48916428,0.950900018,2.859481775,0.957099974,1.511231514,0.937699974,1.541643395,0.952400029,1.527709559,0.955500007,1.539199215,0.955200016,1.529527076,0.959200025,1.511856345,0.952799976,1.517522862,0.941100001,1.49725047,0.957300007,1.490175823,0.958899975,1.518716435,0.952899992,2.744139539,0.945500016,1.515809071
5,0.950699985,1.486216719,0.954699993,1.505730982,0.956399977,1.509230486,0.95539999,1.497050496,0.958199978,1.498143748,0.952199996,1.489008248,0.949199975,1.483813904,0.961300015,1.489697374,0.963699996,2.873528245,0.95389998,1.575493244,0.962199986,1.508619924,0.961300015,1.498236364,0.953199983,1.500200315,0.961099982,1.499047315,0.960099995,1.492941576,0.963800013,1.50976247,0.958400011,1.505256957,0.960900009,1.501469831,0.950600028,1.490939229,0.94630003,1.532413574,0.951900005,2.877905812,0.965399981,1.535787985,0.949500024,1.575735873,0.957700014,1.485976981,0.958199978,1.504503677,0.962599993,1.496545655,0.955600023,1.510178233,0.959900022,1.489911957,0.953800023,1.479511606,0.959900022,1.488744369,0.957499981,1.48303234,0.956399977,1.486019992,0.96359998,1.476298737,0.954900026,1.612926251,0.960799992,2.849911679,0.911599994,1.535566272,0.962000012,1.507903633,0.931699991,1.535558736,0.953999996,1.552608506,0.959800005,1.48592881,0.943700016,1.513913404,0.960099995,1.506003073,0.956900001,1.490229473,0.959200025,1.485403706,0.962300003,1.489214974,0.958299994,1.534303264,0.947600007,1.52235645,0.961399972,1.516679944,0.961300015,1.507130916,0.957099974,1.498199373,0.950699985,1.486216719
6,0.953499973,1.520988498,0.962400019,1.502596065,0.963,1.478690731,0.956700027,2.786834231,0.960099995,1.507474487,0.958000004,1.512603907,0.958999991,1.514608732,0.966199994,1.50296483,0.967599988,1.505407908,0.958500028,1.499745662,0.963100016,1.487862995,0.966000021,1.482505932,0.959500015,1.530543051,0.962000012,1.479067934,0.960500002,1.476225363,0.967299998,1.475666161,0.957000017,1.502792477,0.962199986,1.494307606,0.950399995,1.500518236,0.951300025,1.510293714,0.95450002,1.498921106,0.965799987,1.506525537,0.953400016,1.484465652,0.955500007,1.526284725,0.957700014,1.486777081,0.962899983,1.487184434,0.960799992,1.499640995,0.961399972,1.490227794,0.962400019,2.921132214,0.96329999,1.517253352,0.960799992,1.523289459,0.957099974,1.521139498,0.967199981,1.506827097,0.959299982,1.513510863,0.966700017,1.512981473,0.927699983,1.489959321,0.966400027,1.502000594,0.930000007,1.487273385,0.962199986,1.54617516,0.962400019,1.517385692,0.949199975,2.895660395,0.964100003,1.529398214,0.961499989,1.512503182,0.964699984,1.527957349,0.967700005,1.514185962,0.961099982,1.559764515,0.957799971,1.508810705,0.966600001,1.471130668,0.962899983,1.499442464,0.960799992,1.51198781,0.953499973,1.520988498
7,0.957199991,1.525586165,0.963100016,1.511828682,0.962800026,1.519077483,0.960200012,1.501722594,0.963100016,1.49914439,0.95599997,1.50002762,0.968900025,1.506837671,0.968500018,1.499458048,0.967999995,1.481381269,0.958599985,1.49134413,0.966799974,2.914629795,0.970099986,1.526557872,0.958400011,1.523374408,0.9648,1.516684573,0.961199999,1.511746114,0.968699992,1.497813224,0.961700022,1.513322516,0.962800026,1.500836456,0.951499999,1.503019967,0.954999983,1.500479436,0.95450002,1.478036318,0.968500018,1.525406135,0.956700027,1.516381935,0.95539999,1.522245157,0.958199978,1.529084538,0.963999987,1.523053618,0.962000012,1.559780255,0.964399993,1.596200247,0.96509999,1.52952353,0.968100011,1.502468009,0.963400006,1.558257039,0.957499981,1.481844304,0.970499992,1.530627854,0.962499976,1.517887189,0.968900025,1.496335175,0.933499992,1.48507044,0.969600022,1.495412193,0.94690001,1.534887841,0.966300011,1.52171523,0.966000021,1.507935691,0.955299973,1.50682157,0.966700017,1.518843958,0.963100016,1.507326142,0.965399981,1.508612135,0.970399976,1.499378882,0.963999987,1.486367319,0.965499997,1.47506785,0.969799995,1.543391322,0.967000008,1.510529858,0.96509999,1.492716659,0.957199991,1.525586165
8,0.959299982,1.517155201,0.964100003,1.515016488,0.965799987,1.516475694,0.960600019,1.551154513,0.957499981,1.525816822,0.958599985,1.497355509,0.969699979,1.478312571,0.971099973,3.342812632,0.967599988,1.51202229,0.9648,1.521345321,0.969399989,1.591067847,0.969500005,1.514213656,0.959100008,1.476838679,0.966499984,1.504644888,0.963699996,1.520594029,0.966000021,1.496634069,0.966899991,1.499574157,0.963999987,1.475970436,0.955600023,1.48483823,0.95539999,2.988713667,0.961499989,1.559278918,0.968200028,1.518845207,0.960200012,1.531160503,0.958199978,2.937058696,0.963,1.523013412,0.965200007,1.601550776,0.965200007,1.498852303,0.968699992,2.012857916,0.968599975,1.482467287,0.970200002,1.50945312,0.959999979,1.479533167,0.959599972,2.097642759,0.969299972,5.660551941,0.963199973,1.519059803,0.970200002,1.566357233,0.938499987,1.530738635,0.971599996,1.524732048,0.944599986,1.504412339,0.965799987,1.526021888,0.967899978,1.500591654,0.959500015,1.506677929,0.967400014,1.491339616,0.96509999,1.493339439,0.965499997,1.493994055,0.97240001,1.481098103,0.966199994,1.513290092,0.970099986,1.501498541,0.971400023,1.559796098,0.965900004,1.49978152,0.964900017,1.489056278,0.959299982,1.517155201
9,0.964999974,1.516235328,0.964699984,1.519299179,0.966700017,1.485438878,0.96359998,3.02623126,0.955900013,1.685981611,0.957799971,1.531947342,0.973100007,1.514378017,0.971400023,1.513228186,0.967899978,1.505494571,0.968500018,1.504095286,0.971599996,1.490368307,0.970700026,1.492182422,0.959399998,1.518515197,0.966499984,1.480065206,0.963199973,1.521306938,0.963800013,1.528451979,0.962700009,1.552333547,0.967199981,1.540744478,0.962800026,1.516815466,0.960799992,1.509353545,0.965499997,1.503382487,0.969299972,1.514897634,0.961600006,1.531085396,0.965900004,1.502836231,0.963699996,1.513887175,0.968999982,1.490792053,0.966499984,1.475322726,0.970000029,1.489523623,0.969900012,2.921390517,0.969399989,1.544510997,0.962100029,1.53133127,0.963199973,1.520926754,0.970499992,1.558962651,0.960799992,1.520005878,0.972599983,1.490002196,0.945299983,1.514373706,0.97359997,1.506324995,0.959100008,1.483329713,0.969600022,1.489579426,0.968999982,1.473554553,0.961300015,1.489858365,0.970899999,2.910281161,0.966400027,1.544142821,0.966499984,1.534037966,0.973200023,1.549822034,0.967400014,1.498686333,0.969600022,1.493497447,0.972299993,1.508946364,0.966000021,1.492983582,0.96390003,1.49113772,0.964999974,1.516235328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939179993,1.521027522